PLAYER,POSITION,TEAM,POINTS_FD,POINTS_DK,SALARY_FD,SALARY_DK,RUN_ATT,RUN_YDS,RUN_TDS,REC_ATT,REC_YDS,REC_TDS,PASS_YDS,PASS_TDS,PASS_INT
Jordan Wilkins,RB,IND,0,0,4500,4000,0,0,0,0,0,0,0,0,0
Buddy Howell,RB,LA,0,0,4500,4000,0,0,0,0,0,0,0,0,0
Mike Boone,RB,DEN,0,0,4500,4000,0,0,0,0,0,0,0,0,0
Brandon Zylstra,WR,CAR,0,0,4900,3000,0,0,0,0,0,0,0,0,0
Nick Mullens,QB,PHI,0,0,6000,,0,0,0,0,0,0,0,0,0
Jeff Wilson,RB,SF,0,0,5000,4000,0,0,0,0,0,0,0,0,0
Gehrig Dieter,WR,KC,0,0,4500,3000,0,0,0,0,0,0,0,0,0
Kyle Allen,QB,WSH,0,0,6000,4400,0,0,0,0,0,0,0,0,0
Andy Isabella,WR,ARI,0,0,4500,3000,0,0,0,0,0,0,0,0,0
David Montgomery,RB,CHI,0,0,6000,5100,0,0,0,0,0,0,0,0,0
J.J. Arcega-Whiteside,WR,PHI,0,0,4500,3000,0,0,0,0,0,0,0,0,0
Drew Lock,QB,DEN,0,0,6100,4800,0,0,0,0,0,0,0,0,0
Jalen Hurd,WR,SF,0,0,4500,3000,0,0,0,0,0,0,0,0,0
Damarea Crockett,RB,DEN,0,0,4500,4000,0,0,0,0,0,0,0,0,0
Gardner Minshew,QB,PHI,0,0,6000,4000,0,0,0,0,0,0,0,0,0
J.P. Holtz,TE,CHI,0,0,4000,2500,0,0,0,0,0,0,0,0,0
Gunner Olszewski,WR,NE,0,0,4500,3000,0,0,0,0,0,0,0,0,0
Deonte Harris,WR,NO,0,0,5500,4300,0,0,0,0,0,0,0,0,0
Jarrett Stidham,QB,NE,0,0,6000,4000,0,0,0,0,0,0,0,0,0
Andrew Beck,RB,DEN,0,0,4000,2500,0,0,0,0,0,0,0,0,0
Lil'Jordan Humphrey,WR,NO,0,0,4500,3000,0,0,0,0,0,0,0,0,0
Jakob Johnson,RB,NE,0,0,4500,4000,0,0,0,0,0,0,0,0,0
Stanley Morgan Jr.,WR,CIN,0,0,4500,,0,0,0,0,0,0,0,0,0
Tim Boyle,QB,DET,0,0,6000,4000,0,0,0,0,0,0,0,0,0
Brandon Allen,QB,CIN,0,0,6100,4400,0,0,0,0,0,0,0,0,0
