PLAYER,POSITION,TEAM,POINTS_FD,POINTS_DK,SALARY_FD,SALARY_DK,RUN_ATT,RUN_YDS,RUN_TDS,REC_ATT,REC_YDS,REC_TDS,PASS_YDS,PASS_TDS,PASS_INT
Trenton Irwin,WR,CIN,0.08,0.11,4500,3000,0,0,0,0.05,0.55,0,0,0,0
Mekhi Sargent,RB,TEN,0.08,0.11,,4000,0.05,0.23,0,0.05,0.34,0,0,0,0
Tyler Eifert,TE,JAC,0.08,0.1,,,0,0,0,0.05,0.52,0,0,0,0
Rashard Higgins,WR,CLE,0.08,0.1,4700,3900,0,0,0,0.04,0.59,0,0,0,0
Tanner Gentry,WR,BUF,0.08,0.11,4500,3000,0,0,0,0.05,0.57,0,0,0,0
Darrell Daniels,TE,ARI,0.08,0.11,4000,2500,0,0,0,0.05,0.55,0,0,0,0
Jaydon Mickens,WR,TB,0.08,0.1,4500,3000,0,0,0,0.05,0.54,0,0,0,0
Garrett Griffin,TE,NO,0.07,0.09,4000,2500,0,0,0,0.04,0.51,0,0,0,0
Jordan Wilkins,RB,IND,0.07,0.09,4500,4000,0.05,0.23,0,0.04,0.3,0,0,0,0
Antonio Callaway,WR,KC,0.08,0.11,4500,,0,0,0,0.05,0.57,0,0,0,0
Boston Scott,RB,PHI,0.09,0.11,4500,4300,0.05,0.22,0,0.05,0.41,0,0,0,0
Marcus Kemp,WR,KC,0.08,0.11,4500,3000,0,0,0,0.05,0.57,0,0,0,0
Brandon Powell,WR,BUF,0.08,0.1,4500,,0,0,0,0.05,0.54,0,0,0,0
Ross Dwelley,TE,SF,0.13,0.16,4100,2500,0,0,0,0.05,0.48,0.01,0,0,0
Auden Tate,WR,CIN,0.08,0.1,4500,3000,0,0,0,0.04,0.55,0,0,0,0
Dare Ogunbowale,RB,JAC,0.09,0.11,4500,4000,0.05,0.21,0,0.05,0.39,0,0,0,0
Gehrig Dieter,WR,KC,0.08,0.11,4500,3000,0,0,0,0.05,0.57,0,0,0,0
Jake Kumerow,WR,BUF,0.09,0.11,4500,3000,0,0,0,0.05,0.61,0,0,0,0
Johnny Mundt,TE,LA,0.07,0.1,4000,2500,0,0,0,0.05,0.49,0,0,0,0
Andy Isabella,WR,ARI,0.09,0.11,4500,3000,0,0,0,0.05,0.62,0,0,0,0
Tommy Sweeney,TE,BUF,0.08,0.1,4100,2500,0,0,0,0.05,0.53,0,0,0,0
Drew Sample,TE,CIN,0.07,0.1,4200,2700,0,0,0,0.05,0.48,0,0,0,0
Lil'Jordan Humphrey,WR,NO,0.08,0.1,4700,3000,0,0,0,0.04,0.56,0,0,0,0
Jace Sternberger,TE,GB,0.13,0.16,4100,2500,0,0,0,0.05,0.49,0.01,0,0,0
Marcus Johnson,WR,TEN,0.07,0.09,4500,3000,0,0,0,0.04,0.53,0,0,0,0
Cethan Carter,TE,MIA,0.07,0.09,4000,2500,0,0,0,0.05,0.44,0,0,0,0
Royce Freeman,RB,CAR,0.07,0.1,4500,4000,0.05,0.22,0,0.05,0.25,0,0,0,0
Jason Croom,TE,PHI,0.07,0.1,4000,2500,0,0,0,0.05,0.48,0,0,0,0
Josh Adams,RB,NYJ,0.08,0.11,4500,4000,0.05,0.2,0,0.05,0.35,0,0,0,0
Khadarel Hodge,WR,DET,0.08,0.11,4500,3000,0,0,0,0.05,0.58,0,0,0,0
