PLAYER,TEAM,POSITION,POINTS_FD,POINTS_DK,POINTS_YH,SALARY_FD,SALARY_DK,SALARY_YH,SLATE_MAIN,SLATE_THU_MON,SLATE_SUN_EARLY,SLATE_SUN_MON,SLATE_AFTERNOON,SLATE_SUN_TURBO,DIFF_DK,COLOR_DK,DIFF_FD,COLOR_FD,DIFF_YH,COLOR_YH
Jaeden Graham,ATL,TE,0.08,0.11,0.08,4000,2500,10,1,1,1,1,0,0,8.75,#D9D9F7,3.75,#FFE0A9,11.25,#C0C0F2
Keith Kirkwood,CAR,WR,0.08,0.11,0.08,4500,3000,10,1,1,1,1,0,0,8.75,#D9D9F7,6.25,#FAFAFE,13.75,#A9A9ED
Senorise Perry,TEN,RB,0.08,0.11,0.08,4500,4000,10,1,1,1,1,0,0,11,#C5C5F3,6.25,#FAFAFE,14.75,#9F9FEC
J.J. Arcega-Whiteside,PHI,WR,0.08,0.1,0.08,4600,3000,10,1,1,1,1,0,0,8.75,#D9D9F7,6.5,#F8F8FD,13.75,#A9A9ED
John Hightower,PHI,WR,0.08,0.1,0.08,4600,3000,10,1,1,1,1,0,0,8.75,#D9D9F7,6.5,#F8F8FD,13.75,#A9A9ED
Bennie Fowler,NO,WR,0.07,0.09,0.07,4500,3000,10,1,1,1,1,0,0,8.75,#D9D9F7,6.25,#FAFAFE,13.75,#A9A9ED
Chris Moore,BAL,WR,0.07,0.09,0.07,4500,3000,,1,1,1,1,0,0,8.75,#D9D9F7,6.25,#FAFAFE,,
DeAndrew White,BAL,WR,0.07,0.09,0.07,4500,3000,10,1,1,1,1,0,0,8.75,#D9D9F7,6.25,#FAFAFE,13.75,#A9A9ED
Jordan Thomas,NE,TE,0.07,0.09,0.07,4200,2500,10,1,1,1,1,0,0,8.75,#D9D9F7,5,#FFF4E1,11.5,#BEBEF2
Taywan Taylor,CLE,WR,0.07,0.09,0.07,4500,3000,10,1,1,1,1,0,0,8.75,#D9D9F7,6.25,#FAFAFE,13.75,#A9A9ED
Robert Foster,WSH,WR,0.06,0.08,0.06,4500,3000,10,1,1,1,1,0,0,8.75,#D9D9F7,6.25,#FAFAFE,13.75,#A9A9ED
Stephen Carlson,CLE,TE,0.06,0.08,0.06,4000,2500,10,1,1,1,1,0,0,8.75,#D9D9F7,3.75,#FFE0A9,11.5,#BEBEF2
Jason Huntley,PHI,RB,0.06,0.07,0.06,4500,4000,10,1,1,1,1,0,0,11.25,#C2C2F3,6.25,#FAFAFE,14.75,#9F9FEC
Bryce Love,WSH,RB,0.05,0.06,0.05,4500,4000,10,1,1,1,1,0,0,11.25,#C2C2F3,6.25,#FAFAFE,14.75,#9F9FEC
A.J. McCarron,HOU,QB,0,0,0,6000,4500,20,1,1,1,1,0,0,18.5,#8080E6,16.5,#ADADEE,22.75,#5555DE
Ben Ellefson,JAC,TE,0,0,0,4000,2500,10,1,1,1,1,0,0,8.75,#D9D9F7,3.75,#FFE0A9,11.5,#BEBEF2
Brian Hoyer,NE,QB,0,0,0,6300,4100,20,1,1,1,1,0,0,17.5,#8989E7,17.75,#A4A4EC,22.75,#5555DE
Case Keenum,CLE,QB,0,0,0,6500,4800,22,1,1,1,1,0,0,19.25,#7979E4,18,#A2A2EC,22.75,#5555DE
