PLAYER,TEAM,POSITION,POINTS_FD,POINTS_DK,POINTS_YH,SALARY_FD,SALARY_DK,SALARY_YH,SLATE_MAIN,SLATE_THU_MON,SLATE_SUN_EARLY,SLATE_SUN_MON,SLATE_AFTERNOON,SLATE_SUN_TURBO,DIFF_DK,COLOR_DK,DIFF_FD,COLOR_FD,DIFF_YH,COLOR_YH
James Washington,PIT,WR,5.42,6.6,5.42,5200,3000,11,1,1,1,1,0,0,4,#FFEFD2,5.25,#FBFBFE,5.25,#FBFBFE
Brian Hill,ATL,RB,5.56,6.48,5.56,5000,4000,10,1,1,1,1,0,0,5.5,#F9F9FD,6.5,#F0F0FC,6,#F4F4FD
Damiere Byrd,NE,WR,5.26,6.48,5.26,5300,3500,13,1,1,1,1,0,0,5.25,#FBFBFE,5.25,#FBFBFE,5.75,#F6F6FD
Baltimore D/ST,BAL,DST,6.41,6.41,6.41,4700,3500,18,1,1,1,1,0,0,3.75,#FFEAC5,3.75,#FFEAC5,3.25,#FFE1AC
Ian Thomas,CAR,TE,5,6.37,5,4500,2500,10,1,1,1,1,0,0,2.75,#FFD890,6.25,#F2F2FC,3.75,#FFEBC7
Tampa Bay D/ST,TB,DST,6.29,6.29,6.29,4100,3600,18,0,1,0,1,0,0,3.75,#FFEAC5,2.25,#FFCE76,3.25,#FFE1AC
New Orleans D/ST,NO,DST,6.28,6.28,6.28,4100,3200,14,1,1,1,1,0,0,3,#FFDC9D,2.25,#FFCE76,2.25,#FFCF77
Devontae Booker,LV,RB,5.61,6.21,5.61,5200,4000,14,0,1,0,1,0,0,5.75,#F7F7FD,7,#ECECFB,7.25,#E9E9FA
Robert Tonyan,GB,TE,4.96,6.17,4.96,5600,3200,12,1,1,0,1,1,1,4.5,#FFF8EC,8,#E3E3F9,4.25,#FFF4E1
Le'Veon Bell,KC,RB,5.51,6.11,5.51,5500,4400,13,0,1,0,1,0,0,7.75,#E5E5FA,7.25,#EAEAFB,6.75,#EDEDFB
Irv Smith Jr.,MIN,TE,4.83,5.95,4.83,5100,3400,13,1,1,0,1,1,1,5.75,#F7F7FD,7.25,#EAEAFB,5,#FDFDFE
Emmanuel Sanders,NO,WR,4.93,5.92,4.93,5600,4900,20,1,1,1,1,0,0,8.5,#DFDFF8,6.25,#F2F2FC,8,#E3E3F9
Byron Pringle,KC,WR,4.79,5.88,4.79,4700,3000,10,0,1,0,1,0,0,4.75,#FFFDF9,5.5,#F9F9FD,5.75,#F6F6FD
Darren Fells,HOU,TE,4.75,5.88,4.75,5000,2900,10,1,1,1,1,0,0,4.75,#FFFDF9,7.25,#EAEAFB,4,#FFF0D4
Jalen Guyton,LAC,WR,4.83,5.87,4.83,4900,3500,11,1,1,0,1,1,0,5.75,#F7F7FD,5.25,#FBFBFE,5.75,#F6F6FD
Tony Pollard,DAL,RB,5.16,5.85,5.16,4800,5600,10,1,1,0,1,1,1,10.5,#CDCDF5,6.75,#EEEEFB,6.25,#F2F2FC
Cincinnati D/ST,CIN,DST,5.77,5.77,5.77,3700,2300,13,1,1,1,1,0,0,1.5,#FFC04E,2.5,#FFD383,2.75,#FFD892
Kansas City D/ST,KC,DST,5.77,5.77,5.77,4700,3400,18,0,1,0,1,0,0,3.75,#FFEAC5,4.5,#FFF8EC,4,#FFF0D4
Philadelphia D/ST,PHI,DST,5.74,5.74,5.74,4000,2800,17,1,1,1,1,0,0,2.5,#FFD383,2.75,#FFD890,3.5,#FFE6B9
Denver D/ST,DEN,DST,5.73,5.73,5.73,3900,2400,13,1,1,0,1,1,0,2.25,#FFCE76,2.75,#FFD890,2.75,#FFD892
Alexander Mattison,MIN,RB,5.28,5.67,5.28,6100,6200,14,1,1,0,1,1,1,11.5,#C5C5F3,9,#DBDBF8,7.75,#E5E5FA
Gus Edwards,BAL,RB,5.27,5.61,5.27,5500,4500,17,1,1,1,1,0,0,8.25,#E1E1F9,7.5,#E8E8FA,8.25,#E0E0F9
K.J. Hamler,DEN,WR,4.56,5.61,4.56,5200,3600,10,1,1,0,1,1,0,6,#F5F5FD,6,#F5F5FD,6,#F4F4FD
Kyle Rudolph,MIN,TE,4.54,5.57,4.54,4500,3200,10,1,1,0,1,1,1,5.25,#FBFBFE,7,#ECECFB,4.25,#FFF4E1
Houston D/ST,HOU,DST,5.55,5.55,5.55,3600,2600,12,1,1,1,1,0,0,2.75,#FFD890,2.5,#FFD383,2.75,#FFD892
Carolina D/ST,CAR,DST,5.46,5.46,5.46,3500,2700,13,1,1,1,1,0,0,2.75,#FFD890,1.75,#FFC55C,3,#FFDD9F
Drew Sample,CIN,TE,4.33,5.45,4.33,4600,2700,11,1,1,1,1,0,0,5,#FDFDFE,7,#ECECFB,4.5,#FFF9EF
Cam Akers,LA,RB,5.14,5.43,5.14,5400,4000,13,0,1,0,1,0,0,6.5,#F0F0FC,7.5,#E8E8FA,7.25,#E9E9FA
Isaiah Wright,WSH,WR,4.19,5.29,4.19,4500,3000,10,1,1,1,1,0,0,5.5,#F9F9FD,5.75,#F7F7FD,6.5,#F0F0FC
Anthony Firkser,TEN,TE,4.14,5.19,4.14,4800,2500,10,1,1,1,1,0,0,4,#FFEFD2,7.75,#E5E5FA,4.75,#FFFEFC
Boston Scott,PHI,RB,4.47,5.14,4.47,5200,5600,14,1,1,1,1,0,0,11,#C9C9F4,8,#E3E3F9,8.5,#DEDEF8
Cameron Batson,TEN,WR,3.94,5.06,3.94,4500,3000,10,1,1,1,1,0,0,5.5,#F9F9FD,6,#F5F5FD,6.75,#EDEDFB
Green Bay D/ST,GB,DST,5.03,5.03,5.03,4200,2800,13,1,1,0,1,1,1,3.25,#FFE1AA,3.5,#FFE5B8,3.5,#FFE6B9
Jordan Akins,HOU,TE,4.02,5.02,4.02,4900,2500,10,1,1,1,1,0,0,4.25,#FFF3DF,7.75,#E5E5FA,4.75,#FFFEFC
Tennessee D/ST,TEN,DST,4.98,4.98,4.98,3800,2500,14,1,1,1,1,0,0,3,#FFDC9D,3.5,#FFE5B8,3.5,#FFE6B9
Jack Doyle,IND,TE,3.95,4.96,3.95,4700,2500,10,1,1,0,1,1,1,4.25,#FFF3DF,7.75,#E5E5FA,4.75,#FFFEFC
Samaje Perine,CIN,RB,4.32,4.93,4.32,4700,4000,11,1,1,1,1,0,0,7,#ECECFB,7.25,#EAEAFB,7.25,#E9E9FA
Mo Alie-Cox,IND,TE,4.02,4.92,4.02,4900,2900,10,1,1,0,1,1,1,6,#F5F5FD,7.75,#E5E5FA,4.75,#FFFEFC
Los Angeles Rams D/ST,LA,DST,4.84,4.84,4.84,4300,2600,17,0,1,0,1,0,0,3.5,#FFE5B8,3.75,#FFEAC5,4.25,#FFF4E1
Gerald Everett,LA,TE,3.82,4.81,3.82,4500,3000,10,0,1,0,1,0,0,6,#F5F5FD,7.75,#E5E5FA,5,#FDFDFE
Miles Boykin,BAL,WR,3.93,4.77,3.93,4800,3000,10,1,1,1,1,0,0,6,#F5F5FD,6.25,#F2F2FC,6.75,#EDEDFB
Atlanta D/ST,ATL,DST,4.71,4.71,4.71,3200,2300,10,1,1,1,1,0,0,2.75,#FFD890,2.5,#FFD383,2.5,#FFD384
Dallas D/ST,DAL,DST,4.68,4.68,4.68,3000,2200,10,1,1,0,1,1,1,2.75,#FFD890,2,#FFCA69,2.5,#FFD384
Adam Shaheen,MIA,TE,3.68,4.6,3.68,4300,2500,10,1,1,0,1,1,0,4.5,#FFF8EC,7,#ECECFB,5,#FDFDFE
Devin Duvernay,BAL,WR,3.78,4.56,3.78,4800,3000,10,1,1,1,1,0,0,6,#F5F5FD,6.5,#F0F0FC,7,#EBEBFB
Jacksonville D/ST,JAC,DST,4.51,4.51,4.51,3300,2100,10,1,1,1,1,0,0,3,#FFDC9D,2.75,#FFD890,2.75,#FFD892
Jared Cook,NO,TE,3.65,4.35,3.65,6100,4100,21,1,1,1,1,0,0,8.5,#DFDFF8,10.5,#CDCDF5,8.5,#DEDEF8
Cedrick Wilson,DAL,WR,3.5,4.29,3.5,4900,3000,10,1,1,0,1,1,1,6.5,#F0F0FC,6.75,#EEEEFB,7.25,#E9E9FA
Darrel Williams,KC,RB,3.67,4.24,3.67,4600,4000,10,0,1,0,1,0,0,7.75,#E5E5FA,7.75,#E5E5FA,7.75,#E5E5FA
Ryan Izzo,NE,TE,3.45,4.23,3.45,4400,2500,10,1,1,1,1,0,0,5,#FDFDFE,8,#E3E3F9,5.25,#FBFBFE
Indianapolis D/ST,IND,DST,4.21,4.21,4.21,4000,3100,17,1,1,0,1,1,1,5,#FDFDFE,4.25,#FFF3DF,5,#FDFDFE
New York Jets D/ST,NYJ,DST,4.2,4.2,4.2,3100,2000,12,1,1,0,1,1,0,2.5,#FFD383,2.5,#FFD383,4.25,#FFF4E1
Braxton Berrios,NYJ,WR,3.31,4.16,3.31,4900,3000,10,1,1,0,1,1,0,6.5,#F0F0FC,7,#ECECFB,7.25,#E9E9FA
DaeSean Hamilton,DEN,WR,3.26,4.06,3.26,4800,3000,10,1,1,0,1,1,0,6.5,#F0F0FC,7,#ECECFB,7.5,#E7E7FA
Benny Snell Jr.,PIT,RB,3.85,4.04,3.85,4900,4000,11,1,1,1,1,0,0,8,#E3E3F9,8,#E3E3F9,7.75,#E5E5FA
Mack Hollins,MIA,WR,3.19,4,3.19,4900,3000,10,1,1,0,1,1,0,6.75,#EEEEFB,7,#ECECFB,7.5,#E7E7FA
Durham Smythe,MIA,TE,3.12,3.91,3.12,4300,2500,10,1,1,0,1,1,0,5.25,#FBFBFE,7.5,#E8E8FA,5.75,#F6F6FD
Olamide Zaccheaus,ATL,WR,3.18,3.9,3.18,4700,3500,13,1,1,1,1,0,0,7.75,#E5E5FA,7,#ECECFB,8,#E3E3F9
Chris Herndon,NYJ,TE,3.05,3.89,3.05,4300,2700,10,1,1,0,1,1,0,6.5,#F0F0FC,7.75,#E5E5FA,5.75,#F6F6FD
Frank Gore,NYJ,RB,3.65,3.83,3.65,5000,4100,11,1,1,0,1,1,0,9,#DBDBF8,8.5,#DFDFF8,7.75,#E5E5FA
Cam Sims,WSH,WR,3.14,3.81,3.14,5000,3300,11,1,1,1,1,0,0,6.75,#EEEEFB,7,#ECECFB,7.5,#E7E7FA
Tre'Quan Smith,NO,WR,3.12,3.71,3.12,5300,3500,15,1,1,1,1,0,0,8,#E3E3F9,7.5,#E8E8FA,8.25,#E0E0F9
Kenny Stills,HOU,WR,2.96,3.62,2.96,4700,3000,10,1,1,1,1,0,0,7.25,#EAEAFB,7.25,#EAEAFB,7.75,#E5E5FA
Rodney Smith,CAR,RB,2.97,3.36,2.97,,4000,10,1,1,1,1,0,0,8.5,#DFDFF8,,,8.5,#DEDEF8
Scotty Miller,TB,WR,2.69,3.3,2.69,5300,3000,11,0,1,0,1,0,0,7.5,#E8E8FA,8,#E3E3F9,8,#E3E3F9
Ryan Griffin,NYJ,TE,2.57,3.25,2.57,4100,2500,11,1,1,0,1,1,0,6,#F5F5FD,8.25,#E1E1F9,6.25,#F2F2FC
Collin Johnson,JAC,WR,2.56,3.23,2.56,4600,3000,10,1,1,1,1,0,0,7.5,#E8E8FA,7.75,#E5E5FA,8,#E3E3F9
Donald Parham Jr.,LAC,TE,2.52,3.1,2.52,4300,2500,10,1,1,0,1,1,0,6,#F5F5FD,8.25,#E1E1F9,6.25,#F2F2FC
Donovan Peoples-Jones,CLE,WR,2.54,3.1,2.54,5000,3200,10,1,1,1,1,0,0,7.5,#E8E8FA,7.75,#E5E5FA,8,#E3E3F9
Auden Tate,CIN,WR,2.44,3.01,2.44,4500,3000,10,1,1,1,1,0,0,7.75,#E5E5FA,7.5,#E8E8FA,8.25,#E0E0F9
C.J. Prosise,HOU,RB,2.49,2.99,2.49,4500,4000,10,1,1,1,1,0,0,9,#DBDBF8,8.75,#DDDDF8,9,#DADAF8
Las Vegas D/ST,LV,DST,2.98,2.98,2.98,3000,2000,10,0,1,0,1,0,0,3.75,#FFEAC5,3.75,#FFEAC5,4.25,#FFF4E1
Khadarel Hodge,CLE,WR,2.39,2.92,2.39,4500,3000,10,1,1,1,1,0,0,7.75,#E5E5FA,7.5,#E8E8FA,8.25,#E0E0F9
