PLAYER,TEAM,POSITION,POINTS_FD,POINTS_DK,POINTS_YH,SALARY_FD,SALARY_DK,SALARY_YH,SLATE_MAIN,SLATE_THU_MON,SLATE_SUN_EARLY,SLATE_SUN_MON,SLATE_AFTERNOON,SLATE_SUN_TURBO,DIFF_DK,COLOR_DK,DIFF_FD,COLOR_FD,DIFF_YH,COLOR_YH
Elijhaa Penny,NYG,RB,1.06,1.28,1.06,4500,4000,10,1,1,1,1,1,1,12.5,#C0C0F2,10.25,#CECEF5,11.25,#B6B6F0
Ameer Abdullah,MIN,RB,0.94,1.19,0.94,4500,4000,10,1,1,1,1,1,1,12.5,#C0C0F2,10.25,#CECEF5,11.25,#B6B6F0
Tyler Conklin,MIN,TE,0.93,1.16,0.93,4400,2500,10,1,1,1,1,1,1,7.25,#ECECFB,6,#F3F3FC,7,#E2E2F9
Joshua Kelley,LAC,RB,0.98,1.15,0.98,4900,4000,10,1,1,1,1,1,1,12.5,#C0C0F2,11.5,#C2C2F3,11.25,#B6B6F0
C.J. Board,NYG,WR,0.89,1.13,0.89,4500,3000,10,1,1,1,1,1,1,9.25,#DCDCF8,8,#E2E2F9,8.25,#D5D5F7
James Proche,BAL,WR,0.89,1.12,0.89,4600,3000,10,1,1,1,1,0,1,9.25,#DCDCF8,8,#E2E2F9,8.25,#D5D5F7
Josh Adams,NYJ,RB,0.96,1.11,0.96,5100,4100,12,1,1,1,1,1,1,13,#BCBCF1,11.5,#C2C2F3,11.25,#B6B6F0
Jakob Johnson,NE,RB,0.79,1.07,0.79,4500,4000,10,1,1,1,1,1,1,12.75,#BEBEF2,10.5,#CBCBF5,11.25,#B6B6F0
Nick Westbrook-Ikhine,TEN,WR,0.84,1.06,0.84,4500,3000,10,1,1,1,1,1,1,9.25,#DCDCF8,8,#E2E2F9,8.25,#D5D5F7
Malcolm Perry,MIA,RB,0.78,1.03,0.78,4500,3000,10,1,1,1,1,1,1,10.5,#D1D1F6,10.5,#CBCBF5,11.25,#B6B6F0
Nick Keizer,KC,TE,0.84,1.03,0.84,4100,2500,10,1,1,1,1,1,1,7.25,#ECECFB,5.5,#F8F8FD,7.25,#DFDFF9
Dontrelle Inman,WSH,WR,0.82,1.02,0.82,4800,3500,10,1,1,1,1,1,1,10.25,#D3D3F6,8.25,#E0E0F9,8.25,#D5D5F7
Travis Homer,SEA,RB,0.83,1.02,0.83,4800,4000,10,1,1,1,1,1,1,12.75,#BEBEF2,11.25,#C5C5F3,11.5,#B3B3F0
Derek Watt,PIT,RB,0.81,0.99,0.81,4500,4000,10,1,1,0,1,1,1,12.75,#BEBEF2,10.5,#CBCBF5,11.5,#B3B3F0
Trayveon Williams,CIN,RB,0.84,0.99,0.84,4500,4000,10,1,1,1,1,1,1,12.75,#BEBEF2,10.5,#CBCBF5,11.25,#B6B6F0
Alec Ingold,LV,RB,0.75,0.97,0.75,4500,4000,10,1,1,1,1,1,1,12.75,#BEBEF2,10.5,#CBCBF5,11.5,#B3B3F0
C.J. Prosise,HOU,RB,0.75,0.91,0.75,4800,4000,10,1,1,1,1,1,1,12.75,#BEBEF2,11.25,#C5C5F3,11.5,#B3B3F0
Rashaad Penny,SEA,RB,0.73,0.9,0.73,4500,4000,13,1,1,1,1,1,1,12.75,#BEBEF2,10.5,#CBCBF5,12,#AEAEEE
Jacoby Brissett,IND,QB,0.85,0.89,0.85,6000,4100,20,1,1,1,1,1,1,16.25,#A0A0EC,17.5,#8D8DE8,17.5,#7676E4
Vance McDonald,PIT,TE,0.7,0.89,0.7,4200,2800,10,1,1,0,1,1,1,8.25,#E4E4F9,5.5,#F8F8FD,7.25,#DFDFF9
Deon Yelder,KC,TE,0.65,0.81,0.65,4000,2500,10,1,1,1,1,1,1,7.5,#EAEAFB,5.75,#F6F6FD,7.5,#DDDDF8
Nick Bellore,SEA,RB,0.66,0.81,0.66,4500,4000,10,1,1,1,1,1,1,13,#BCBCF1,10.75,#C9C9F4,11.5,#B3B3F0
Anthony Sherman,KC,RB,0.66,0.8,0.66,4500,4000,10,1,1,1,1,1,1,13,#BCBCF1,10.75,#C9C9F4,11.5,#B3B3F0
Royce Freeman,DEN,RB,0.65,0.8,0.65,5000,4000,10,1,1,1,1,1,1,13,#BCBCF1,12,#BEBEF2,11.5,#B3B3F0
Jerick McKinnon,SF,RB,0.66,0.78,0.66,5600,4400,10,1,1,1,1,1,1,13.5,#B8B8F0,13,#B5B5F0,11.5,#B3B3F0
Pharaoh Brown,HOU,TE,0.64,0.78,0.64,4200,2500,10,1,1,1,1,1,1,7.5,#EAEAFB,5.75,#F6F6FD,7.5,#DDDDF8
Keith Smith,ATL,RB,0.57,0.75,0.57,4500,4000,10,1,1,1,1,1,1,13,#BCBCF1,10.75,#C9C9F4,11.75,#B1B1EF
Jace Sternberger,GB,TE,0.6,0.74,0.6,4300,2700,10,1,1,1,1,1,1,8,#E6E6FA,6,#F3F3FC,7.5,#DDDDF8
Michael Burton,NO,RB,0.59,0.74,0.59,4500,4000,10,1,1,1,1,1,1,13,#BCBCF1,10.75,#C9C9F4,11.5,#B3B3F0
Patrick Ricard,BAL,RB,0.55,0.73,0.55,4500,,10,1,1,1,1,0,1,,,10.75,#C9C9F4,11.75,#B1B1EF
DaeSean Hamilton,DEN,WR,0.57,0.72,0.57,4600,3000,10,1,1,1,1,1,1,9.75,#D7D7F7,8.25,#E0E0F9,8.5,#D2D2F6
Lee Smith,BUF,TE,0.57,0.72,0.57,4100,2500,10,1,1,1,0,1,1,7.5,#EAEAFB,5.75,#F6F6FD,7.5,#DDDDF8
Luke Willson,BAL,TE,0.59,0.72,0.59,4100,3000,10,1,1,1,1,0,1,8.5,#E2E2F9,5.75,#F6F6FD,7.5,#DDDDF8
Joe Reed,LAC,WR,0.54,0.66,0.54,4500,3000,10,1,1,1,1,1,1,9.75,#D7D7F7,8.25,#E0E0F9,8.5,#D2D2F6
De'Michael Harris,IND,WR,0.53,0.65,0.53,4600,3000,10,1,1,1,1,1,1,9.75,#D7D7F7,8.5,#DDDDF8,8.5,#D2D2F6
Ben Ellefson,JAC,TE,0.5,0.63,0.5,4000,2500,,1,1,1,1,1,1,7.75,#E8E8FA,5.75,#F6F6FD,,
Riley Ridley,CHI,WR,0.44,0.55,0.44,4500,3000,10,1,1,1,1,1,1,9.75,#D7D7F7,8.5,#DDDDF8,8.75,#D0D0F6
D'Onta Foreman,TEN,RB,0.43,0.51,0.43,4600,4000,10,1,1,1,1,1,1,13.25,#BABAF1,11.5,#C2C2F3,11.75,#B1B1EF
Josh Hill,NO,TE,0.41,0.51,0.41,4100,2500,10,1,1,1,1,1,1,7.75,#E8E8FA,6,#F3F3FC,7.75,#DADAF8
Trevon Wesco,NYJ,TE,0.45,0.51,0.45,4000,2500,10,1,1,1,1,1,1,7.75,#E8E8FA,5.75,#F6F6FD,7.5,#DDDDF8
