PLAYER,TEAM,POSITION,POINTS_FD,POINTS_DK,POINTS_YH,SALARY_FD,SALARY_DK,SALARY_YH,SLATE_MAIN,SLATE_THU_MON,SLATE_SUN_EARLY,SLATE_SUN_MON,SLATE_AFTERNOON,SLATE_SUN_TURBO,DIFF_DK,COLOR_DK,DIFF_FD,COLOR_FD,DIFF_YH,COLOR_YH
Tony Pollard,DAL,RB,4.87,5.55,4.87,,,14,0,1,1,1,1,1,,,,,7.75,#D9D9F7
Jared Cook,NO,TE,4.55,5.54,4.55,5500,3700,14,1,1,1,1,1,1,5,#F5F5FD,4.75,#F5F5FD,4.25,#FDFDFE
Matt Breida,MIA,RB,5.05,5.51,5.05,5300,4400,13,1,1,1,1,1,1,7.75,#D9D9F7,6.5,#E3E3F9,7.75,#D9D9F7
Jacob Hollister,SEA,TE,4.39,5.44,4.39,4900,3000,10,1,1,1,1,1,1,3.5,#FFF1D9,3.5,#FFF5E4,2.75,#FFE1AB
New York Giants D/ST,NYG,DST,5.43,5.43,5.43,3400,2200,16,1,1,1,1,1,1,1.75,#FFCB6C,2,#FFD382,5.25,#F3F3FC
Arizona D/ST,ARI,DST,5.41,5.41,5.41,3800,2900,15,1,1,1,1,1,1,4,#FFFCF8,3,#FFEAC4,4.75,#F8F8FD
Steven Sims,WSH,WR,4.27,5.39,4.27,,3100,10,1,1,1,1,1,1,4.5,#FAFAFE,,,5,#F5F5FD
Jordan Wilkins,IND,RB,5.02,5.36,5.02,5500,4200,15,1,1,1,1,1,1,7,#E1E1F9,6.5,#E3E3F9,8.5,#D1D1F6
Antonio Callaway,MIA,WR,4.27,5.28,4.27,4800,3000,10,1,1,1,1,1,1,4.5,#FAFAFE,4.5,#F8F8FD,5,#F5F5FD
Jeff Smith,NYJ,WR,4.04,5.16,4.04,4600,3000,10,1,1,1,1,1,1,4.75,#F8F8FD,4.25,#FBFBFE,5.25,#F3F3FC
Mack Hollins,MIA,WR,4.21,5.14,4.21,4600,3000,10,1,1,1,1,1,1,4.75,#F8F8FD,4,#FDFDFE,5,#F5F5FD
Cincinnati D/ST,CIN,DST,5.13,5.13,5.13,3600,2300,10,1,1,1,1,1,1,2.25,#FFD68B,2.75,#FFE4B3,3.5,#FFF1D9
DeAndre Washington,MIA,RB,4.76,5.13,4.76,5400,4000,16,1,1,1,1,1,1,6.75,#E3E3F9,6.75,#E0E0F9,9,#CCCCF5
Houston D/ST,HOU,DST,5.05,5.05,5.05,3700,2800,11,1,1,1,1,1,1,3.5,#FFF1D9,3,#FFEAC4,4,#FFFCF8
Anthony Firkser,TEN,TE,4.03,4.99,4.03,4600,2500,14,1,1,1,1,1,1,3.25,#FFECCA,3.25,#FFF0D4,4.75,#F8F8FD
Jalen Richard,LV,RB,4.47,4.94,4.47,4500,4000,10,1,1,1,1,1,1,7,#E1E1F9,5.5,#EDEDFB,7.5,#DCDCF8
Alexander Mattison,MIN,RB,4.46,4.77,4.46,7300,6900,16,1,1,1,1,1,1,13.75,#9B9BEB,10.75,#B4B4F0,9.25,#C9C9F4
Dallas D/ST,DAL,DST,4.76,4.76,4.76,,,13,0,1,1,1,1,1,,,,,5,#F5F5FD
Anthony McFarland Jr.,PIT,RB,4.4,4.71,4.4,,4200,14,1,1,1,1,1,1,7.75,#D9D9F7,,,8.25,#D4D4F6
Drew Sample,CIN,TE,3.53,4.49,3.53,4500,2900,10,1,1,1,1,1,1,4.25,#FDFDFE,3.5,#FFF5E4,3.75,#FFF7E9
Samaje Perine,CIN,RB,4.01,4.41,4.01,4600,4000,10,1,1,1,1,1,1,7.5,#DCDCF8,6,#E8E8FA,8,#D7D7F7
Mo Alie-Cox,IND,TE,3.6,4.39,3.6,4800,2700,11,1,1,1,1,1,1,3.75,#FFF7E9,4.25,#FBFBFE,4.25,#FDFDFE
Dan Arnold,ARI,TE,3.53,4.36,3.53,4600,2800,10,1,1,1,1,1,1,4.5,#FAFAFE,3.75,#FFFBF5,3.75,#FFF7E9
Gunner Olszewski,NE,WR,3.47,4.36,3.47,4500,3000,10,1,1,1,1,1,1,5.5,#F0F0FC,4.75,#F5F5FD,5.75,#EEEEFB
Salvon Ahmed,MIA,RB,3.89,4.36,3.89,5600,5000,18,1,1,1,1,1,1,10,#C2C2F3,8,#D2D2F6,10.25,#BFBFF2
New York Jets D/ST,NYJ,DST,4.3,4.3,4.3,3300,2100,10,1,1,1,1,1,1,2.5,#FFDB9B,3.25,#FFF0D4,4.25,#FDFDFE
Tre'Quan Smith,NO,WR,3.52,4.29,3.52,4800,3000,14,1,1,1,1,1,1,5.5,#F0F0FC,5.25,#F0F0FC,7.25,#DEDEF8
Marvin Hall,DET,WR,3.52,4.25,3.52,4900,3500,10,1,1,1,1,1,1,6.5,#E6E6FA,5.25,#F0F0FC,5.75,#EEEEFB
Cleveland D/ST,CLE,DST,4.17,4.17,4.17,4000,2500,15,1,1,1,1,1,1,3.75,#FFF7E9,4.75,#F5F5FD,6,#EBEBFB
Dawson Knox,BUF,TE,3.25,4.04,3.25,,2900,10,1,1,1,1,0,1,4.75,#F8F8FD,,,4,#FFFCF8
Ryan Izzo,NE,TE,3.26,4.04,3.26,4500,2500,10,1,1,1,1,1,1,4.25,#FDFDFE,3.75,#FFFBF5,4,#FFFCF8
Alshon Jeffery,PHI,WR,3.15,3.89,3.15,4800,3000,13,1,1,1,1,1,1,6,#EBEBFB,5.75,#EBEBFB,6.75,#E3E3F9
DaeSean Hamilton,DEN,WR,3.08,3.89,3.08,,3000,10,1,1,0,1,1,1,6,#EBEBFB,,,6,#EBEBFB
Andy Isabella,ARI,WR,3.13,3.86,3.13,4800,3200,10,1,1,1,1,1,1,6,#EBEBFB,5.75,#EBEBFB,6,#EBEBFB
Bryan Edwards,LV,WR,3.13,3.82,3.13,4700,3000,10,1,1,1,1,1,1,6,#EBEBFB,5.75,#EBEBFB,6,#EBEBFB
Jacksonville D/ST,JAC,DST,3.69,3.69,3.69,3200,2000,10,1,1,1,1,1,1,3,#FFE6BA,3.25,#FFF0D4,5,#F5F5FD
Adrian Peterson,DET,RB,3.42,3.67,3.42,5600,4900,15,1,1,1,1,1,1,10.5,#BCBCF1,8.5,#CDCDF5,10.25,#BFBFF2
Khadarel Hodge,CLE,WR,2.98,3.65,2.98,4600,3300,10,1,1,1,1,1,1,6.5,#E6E6FA,5.25,#F0F0FC,6.25,#E8E8FA
Jack Doyle,IND,TE,2.88,3.57,2.88,4900,2500,10,1,1,1,1,1,1,4.75,#F8F8FD,5,#F3F3FC,4.25,#FDFDFE
Cole Kmet,CHI,TE,2.86,3.56,2.86,4400,2500,10,1,1,1,1,1,1,4.75,#F8F8FD,4,#FDFDFE,4.25,#FDFDFE
