shortName,playerId,playerDkId,position,teamAbbreviation,salary,jdt_players_points,name,startTime
C. Edmonds,832900,17682,RB,MIA,5200,11.5,NE @ MIA,2022-09-11T17:00:00.0000000Z
J. Garoppolo,555358,19505,QB,SF,5200,15.8,SF @ CHI,2022-09-11T17:00:00.0000000Z
K. Herbert,935104,560913,RB,CHI,5200,4.8,SF @ CHI,2022-09-11T17:00:00.0000000Z
B. Aiyuk,1107034,469980,WR,SF,5200,9.8,SF @ CHI,2022-09-11T17:00:00.0000000Z
J. Brissett,607047,20078,QB,CLE,5200,7.2,CLE @ CAR,2022-09-11T17:00:00.0000000Z
C. Watson,1067918,640851,WR,GB,5100,,GB @ MIN,2022-09-11T20:25:00.0000000Z
N. Hines,880146,11055,RB,IND,5100,6.7,IND @ HOU,2022-09-11T17:00:00.0000000Z
J. McKissic,608353,19363,RB,WAS,5100,11.6,JAX @ WAS,2022-09-11T17:00:00.0000000Z
C. Kirk,865801,17873,WR,JAX,5100,12.3,JAX @ WAS,2022-09-11T17:00:00.0000000Z
J. Wilson Jr.,834195,19751,RB,SF,5100,5,SF @ CHI,2022-09-11T17:00:00.0000000Z
Z. Wilson,1108052,557394,QB,NYJ,5100,12.6,BAL @ NYJ,2022-09-11T17:00:00.0000000Z
M. Carter,976329,546459,RB,NYJ,5100,11.3,BAL @ NYJ,2022-09-11T17:00:00.0000000Z
E. Moore,1128783,560591,WR,NYJ,5100,12.8,BAL @ NYJ,2022-09-11T17:00:00.0000000Z
J. Landry,589991,14668,WR,NO,5000,11.5,NO @ ATL,2022-09-11T17:00:00.0000000Z
D. London,1178741,630530,WR,ATL,5000,,NO @ ATL,2022-09-11T17:00:00.0000000Z
K. Drake,694588,14435,RB,LV,5000,8.5,LV @ LAC,2022-09-11T20:25:00.0000000Z
D. Jones,879981,19174,QB,NYG,5000,16.4,NYG @ TEN,2022-09-11T20:25:00.0000000Z
H. Haskins,1130230,641022,RB,TEN,5000,,NYG @ TEN,2022-09-11T20:25:00.0000000Z
T. Burks,1172024,640768,WR,TEN,5000,,NYG @ TEN,2022-09-11T20:25:00.0000000Z
