PLAYER,TEAM,POSITION,POINTS_FD,POINTS_DK,POINTS_YH,SALARY_FD,SALARY_DK,SALARY_YH,SLATE_MAIN,SLATE_THU_MON,SLATE_SUN_EARLY,SLATE_SUN_MON,SLATE_AFTERNOON,SLATE_SUN_TURBO,DIFF_DK,COLOR_DK,DIFF_FD,COLOR_FD,DIFF_YH,COLOR_YH
Isaiah Wright,WSH,WR,1.79,2.3,1.79,4500,3000,10,1,1,1,1,1,1,6.25,#EAEAFB,6,#EAEAFB,6.75,#E4E4F9
Quez Watkins,PHI,WR,1.88,2.28,1.88,,3000,10,1,1,1,1,1,1,6.25,#EAEAFB,,,6.75,#E4E4F9
J.J. Taylor,NE,RB,2.07,2.25,2.07,4600,4000,10,1,1,1,1,1,1,9.25,#CCCCF5,7.5,#DADAF8,9.5,#C8C8F4
Kahale Warring,HOU,TE,1.81,2.23,1.81,4100,2500,10,1,1,1,1,1,1,6.5,#E8E8FA,3.75,#FFF9EF,5,#F6F6FD
Devin Asiasi,NE,TE,1.68,2.13,1.68,4000,2500,10,1,1,1,1,1,1,6.5,#E8E8FA,3.75,#FFF9EF,5,#F6F6FD
Foster Moreau,LV,TE,1.72,2.11,1.72,4500,2500,10,1,1,1,1,1,1,6.5,#E8E8FA,5.75,#ECECFB,5,#F6F6FD
Adam Trautman,NO,TE,1.67,2.07,1.67,4200,2500,10,1,1,1,1,1,1,6.5,#E8E8FA,4.5,#F9F9FE,5,#F6F6FD
Marquez Callaway,NO,WR,1.65,2.03,1.65,4800,3000,,1,1,1,1,1,1,6.5,#E8E8FA,6.75,#E2E2F9,,
Tommylee Lewis,NO,WR,1.63,1.97,1.63,4600,3000,10,1,1,1,1,1,1,6.5,#E8E8FA,6.75,#E2E2F9,7,#E2E2F9
Robert Foster,WSH,WR,1.59,1.96,1.59,4500,3000,10,1,1,1,1,1,1,6.5,#E8E8FA,6.25,#E7E7FA,7,#E2E2F9
Jeremy McNichols,TEN,RB,1.49,1.81,1.49,4700,4000,10,1,1,1,1,1,1,9.75,#C7C7F4,8,#D5D5F7,10,#C3C3F3
Darwin Thompson,KC,RB,1.6,1.79,1.6,4500,4000,10,1,1,1,1,1,1,9.75,#C7C7F4,8,#D5D5F7,10,#C3C3F3
Jordan Wilkins,IND,RB,1.64,1.79,1.64,4800,4000,10,1,1,1,1,1,1,9.75,#C7C7F4,8.75,#CCCCF5,10,#C3C3F3
Alfred Morris,NYG,RB,1.59,1.72,1.59,4700,4000,11,1,1,1,1,1,1,9.75,#C7C7F4,8,#D5D5F7,10,#C3C3F3
Andre Roberts,BUF,WR,1.38,1.72,1.38,4500,3000,10,1,1,1,0,1,1,6.75,#E5E5FA,6.25,#E7E7FA,7.25,#DFDFF9
Equanimeous St. Brown,GB,WR,1.41,1.72,1.41,4600,3000,10,1,1,1,1,1,1,6.75,#E5E5FA,7,#DFDFF9,7.25,#DFDFF9
Royce Freeman,DEN,RB,1.48,1.69,1.48,4800,4000,10,1,1,1,1,1,1,9.75,#C7C7F4,9,#CACAF4,10,#C3C3F3
Josh Hill,NO,TE,1.33,1.66,1.33,4300,2500,10,1,1,1,1,1,1,7,#E3E3F9,4.75,#F7F7FD,5.5,#F1F1FC
Cameron Batson,TEN,WR,1.26,1.6,1.26,4500,3000,10,1,1,1,1,1,1,7,#E3E3F9,6.5,#E4E4FA,7.25,#DFDFF9
Gunner Olszewski,NE,WR,1.33,1.59,1.33,4700,3000,10,1,1,1,1,1,1,7,#E3E3F9,7.25,#DCDCF8,7.25,#DFDFF9
Deon Yelder,KC,TE,1.25,1.52,1.25,4000,2500,10,1,1,1,1,1,1,7.25,#E0E0F9,4.25,#FCFCFE,5.5,#F1F1FC
